Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Delta Time (s)	Begin File	subtipos	subc
112	Spectrogram 1	1	255.078977087	255.089642955	69316.1	82024.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0107	742-B5-A30_0001.flac	4	
113	Spectrogram 1	1	258.134155843	258.141562695	68160.8	78558.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0074	742-B5-A30_0001.flac	4	
114	Spectrogram 1	1	260.068825863	260.080084278	75092.4	82717.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0113	742-B5-A30_0001.flac	4	
115	Spectrogram 1	1	262.658261708	262.671890316	68391.9	83872.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0136	742-B5-A30_0001.flac	4	
116	Spectrogram 1	1	262.687592842	262.705073014	75092.4	92190.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0175	742-B5-A30_0001.flac	4	
117	Spectrogram 1	1	264.904019565	264.930684233	61922.4	76709.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0267	742-B5-A30_0001.flac	4	
118	Spectrogram 1	1	265.557007746	265.600560036	64464.0	80868.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0436	742-B5-A30_0001.flac	4	
119	Spectrogram 1	1	265.784249971	265.796397208	67698.7	77403.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0121	742-B5-A30_0001.flac	4	
120	Spectrogram 1	1	266.747140892	266.777657123	61460.3	83641.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0305	742-B5-A30_0001.flac	6	
121	Spectrogram 1	1	266.892759606	266.912461833	65388.2	81099.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0197	742-B5-A30_0001.flac	6	
122	Spectrogram 1	1	270.319910298	270.331168713	65388.2	76940.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0113	742-B5-A30_0001.flac	4	
123	Spectrogram 1	1	275.819054275	275.847200314	63539.7	79251.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0281	742-B5-A30_0001.flac	4	
124	Spectrogram 1	1	275.926601815	275.948229823	68622.9	83410.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0216	742-B5-A30_0001.flac	4	
125	Spectrogram 1	1	276.618401901	276.640326183	63308.7	77171.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0219	742-B5-A30_0001.flac	4	
126	Spectrogram 1	1	276.757650722	276.806535946	62153.4	86414.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0489	742-B5-A30_0001.flac	6	
127	Spectrogram 1	1	277.175693505	277.182804083	72781.9	80637.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0071	742-B5-A30_0001.flac	4	
128	Spectrogram 1	1	279.099697658	279.110956073	65388.2	74399.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0113	742-B5-A30_0001.flac	4	
129	Spectrogram 1	1	279.115696458	279.134065452	50138.6	56377.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0001.flac	0.0184	742-B5-A30_0001.flac	4	
