Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	Begin File	subtipos
93	Spectrogram 1	1	84.850449991	84.861265991	61379.9	66532.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
94	Spectrogram 1	1	85.232892420	85.258684420	60931.9	72132.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
95	Spectrogram 1	1	88.805777897	88.859857897	62948.0	78405.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
96	Spectrogram 1	1	88.799676564	88.810215231	50179.2	57571.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
97	Spectrogram 1	1	89.742887778	89.791143778	53987.5	63172.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
98	Spectrogram 1	1	89.618087779	89.651090445	67204.3	79525.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
99	Spectrogram 1	1	93.178771850	93.211774516	59363.8	74372.8	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
100	Spectrogram 1	1	93.198739850	93.215102516	85797.5	96102.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
101	Spectrogram 1	1	93.619454698	93.630270698	62500.0	70564.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
102	Spectrogram 1	1	93.628606698	93.644969365	85349.5	94310.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
103	Spectrogram 1	1	94.288937730	94.331924396	62052.0	73700.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
104	Spectrogram 1	1	94.848319245	94.864404578	61603.9	72356.6	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
105	Spectrogram 1	1	98.376554660	98.416490660	63620.1	84901.4	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
106	Spectrogram 1	1	99.447339207	99.464256540	55555.6	65636.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
107	Spectrogram 1	1	99.464811207	99.493653873	58691.8	79077.1	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
108	Spectrogram 1	1	100.091584721	100.120150055	60707.9	82885.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
109	Spectrogram 1	1	103.724652976	103.779010309	56451.6	88485.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	6
110	Spectrogram 1	1	104.165890071	104.189186071	58915.8	65860.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
111	Spectrogram 1	1	106.225923166	106.236739166	57123.7	72804.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
112	Spectrogram 1	1	106.408408498	106.446680498	62948.0	78853.0	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
113	Spectrogram 1	1	106.453891165	106.462765832	76164.9	82213.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	1
114	Spectrogram 1	1	107.060974381	107.093144863	56227.6	65188.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
115	Spectrogram 1	1	107.409027519	107.491950186	56451.6	65412.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
116	Spectrogram 1	1	110.248089472	110.259182805	62052.0	69668.5	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
117	Spectrogram 1	1	110.350148138	110.385369471	56675.6	67428.3	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
118	Spectrogram 1	1	110.372334805	110.381764138	75268.8	88485.7	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
119	Spectrogram 1	1	110.391470805	110.400900138	65860.2	76612.9	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
120	Spectrogram 1	1	111.397359352	111.466138019	58467.7	66308.2	/home/bryan/Desktop/Audios_revisados/742-B5-A30_0048.flac	742-B5-A30_0048.flac	4
